code;name;country;division_code;first_color;second_color
-1;No Club;;;;
67118711;Varea;Spain;67023625;#096A2C;#A85E5D
65036389;Stellenbosch FC;South Africa;131234;#A55650;#D7A057
4203161;Plasencia;Spain;67023623;#E6E3D8;#DBDBDB
952751;Sacachispas;Argentina;108508;#906599;#A692AB
37002202;DETO;Netherlands;862766;#F35D5C;#F7A0A0
14252211;Deportivo Llorens;Argentina;14037261;#1D589A;#6399D6
814062;Viveiro;Spain;67101188;#5BA2E1;#365EAC
69005059;Emmenbrücke;Switzerland;98005772;#F1F00F;#9F9FA5
72004450;Surrey Pegasus FC;Canada;1301432;#DAB0A7;#E9E4E5
1999;US Marseille Endoume;France;914524;#FD6A55;#16191A
129871;Mladost Prolozac;Croatia;24000274;#E1E1E3;#A4A4A8
8151525;Ganshoren;Belgium;18097866;#E4E4E4;#9CA09D
50045785;FC Lyon;France;20;#F4F4F6;#9FA7AF
539814;Knokke;Belgium;18097860;#E3E3E3;#A0A1A3
1958;FC Dieppe;France;50046774;#1198DB;#ABD6E8
814943;Almansa;Spain;67023627;#5FA0A7;#F46124
20041746;Boston City;United States;20031797;#16126D;#2F2C89
477174;Dinamo Barnaul;Russia;130491;#62D3F9;#DDF2F9
1013;Feyenoord;Netherlands;29;#E31425;#E4E4E4
8878352;Mortágua;Portugal;83141251;#9A9C5D;#575E9E
4212428;Ávila;Spain;67023617;#D8B399;#AFA599
1475;União da Madeira;Portugal;55065643;#A58F51;#F8DA52
598;Sligo Rovers;Ireland;129372;#D01326;#E75566
2095;R. Jaén;Spain;67023618;#CDA8DD;#F9F2F1
98002186;Bazenheid;Switzerland;98008693;#9A212B;#E01927
1903;Colorado;United States;40;#B11D4C;#9D0732
14093857;Argentino (Pergamino);Argentina;14037261;#DFF8FA;#A2E8F1
50039664;FC Salaise;France;20;#182B5F;#D92E2E
98010072;Rebstein;Switzerland;137891;#E3E5E4;#1E1E1F
969;Aris;Greece;129650;#FCE221;#FEFD48
718;Stalybridge;United Kingdom;5103716;#AE9D9F;#C8A59D
96023087;Bytovia;Poland;162504;#E39A98;#D66B67
67128851;C.D. Dosa;Spain;67101200;#AEB8CA;#C6CCD5
651;Exeter;United Kingdom;14;#171313;#A79DA1
309137;Boavista (RJ);Brazil;19127222;#94D3A7;#71C88B
70054525;Sancaktepe FK;Turkey;463485;#155670;#2E708C
742;Wycombe;United Kingdom;13;#022F5F;#66D6FD
653170;Oriolik;Croatia;129757;#EA1518;#1B2B94
98010028;Champvent;Switzerland;137891;#1218EE;#9D9EA2
1725;Espanyol;Spain;67;#EA5422;#EC2E1D
309641;Sousa;Brazil;19102111;#ECB1AD;#E2D4D1
309743;Hercílio Luz;Brazil;19127222;#F4E2E2;#E89C9E
98042271;Au-Berneck;Switzerland;137891;#0A58A6;#F7F8F8
814641;Poblense;Spain;67023620;#DEDF73;#DBD5D2
58070690;Zvezda SPb;Russia;130488;#DB1D20;#A42224
1966;Annecy FC;France;914524;#D81F24;#F55A56
1301257;Eskisehirspor;Turkey;463479;#9EA014;#E3E3E3
30019954;Spennymoor;United Kingdom;5123054;#E9DDD3;#A76C50
2201;Verona;Italy;32;#FEE714;#F8F058
20030048;Minnesota;United States;40;#95DBF6;#EAEBEC
14064650;Atl. Chascomús;Argentina;14037263;#F6999E;#EE6066
877;SM Caen;France;17;#193160;#FE505D
59001469;Qäbälä;Azerbaijan;59006943;#EBA8AA;#F4F1F1
8325012;South Shields;United Kingdom;5103716;#972950;#ECEBEE
23495741;King Fung;Hong Kong;5624450;#2B272A;#EAEAEB
1600;Stranraer;United Kingdom;47;#2222EB;#E2E2E2
43204769;Vigor Carpaneto;Italy;1400403;#ACDEEA;#AA8F27
8826562;Aurora;Bolivia;86000000;#16D4F8;#00BDE7
707654;Crotone;Italy;33;#37355D;#4E4B75
831343;Aprilia Racing;Italy;1400406;#1C5FAC;#4E91E3
55027245;Sporting Ideal;Portugal;55065660;#E2CD98;#AAACA9
72023746;Sporting Kansas City;United States;40;#083163;#96B3D7
98005828;Thalwil;Switzerland;5724966;#56A25D;#95AA97
19392509;Azuriz;Brazil;19102111;#2651A1;#0A0A0C
129881;Velebit;Croatia;24000270;#ACD1E9;#DACFBA
84107158;ARC Oleiros;Portugal;55065660;#A8CFEF;#63A6DC
67243417;Torredonjimeno;Spain;67023618;#628EAF;#2C6594
2011;Trélissac FC;France;914523;#1A325B;#161818
952755;Villa San Carlos;Argentina;108508;#1CA0E0;#96DBF6
19382040;Retrô FC;Brazil;19102111;#FCE212;#112A8F
67243424;Espeleño;Spain;67246444;#A0926B;#A2A094
862782;VVSB;Netherlands;37059992;#A293AE;#735E8D
1452;Górnik;Poland;129558;#F6E5E5;#E3AB9D
20502980;Unionville Milliken S.C.;Canada;20500261;#E2E2E2;#EBE1E2
