code;name;country
1;Pro League A;Inconnu
2;Pro League B;Belgium
6;3F Superliga;Denmark
7;NordicBet Liga;Denmark
8;2. Division;Denmark
11;Premier Division;United Kingdom
12;Sky Bet Championship;United Kingdom
13;Sky Bet League One;United Kingdom
14;Sky Bet League Two;United Kingdom
16;Ligue 1 Conforama;France
17;Domino's Ligue 2;France
18;National;France
19;National 2 - A;France
20;Regional Divisions;France
22;Bundesliga;Germany
23;Bundesliga 2;Germany
26;Regional Div. North;Germany
27;Regional Div. Southwest;Germany
29;Eredivisie;Netherlands
30;Keuken Kampioen Divisie;Netherlands
32;Serie A;Italy
33;Serie B;Italy
40;MLS;United States
45;Ladbrokes Premiership;United Kingdom
46;Ladbrokes Championship;United Kingdom
47;Ladbrokes League 1;United Kingdom
48;Ladbrokes League 2;United Kingdom
50;Premier Division;Sweden
52;First Division Elite;Sweden
53;Second Division EG;Sweden
54;Second Division N;Sweden
55;Second Division SS;Sweden
56;Second Division NG;Sweden
57;Second Division NS;Sweden
58;Second Division WG;Sweden
60;Premier League;Portugal
61;Second League;Portugal
67;First Division;Spain
68;Second Division;Spain
69;Second Division B1;Spain
70;Second Division B2;Spain
71;Second Division B3;Spain
72;Second Division B4;Spain
102421;Premier Division;Argentina
102422;Second Division;Argentina
102423;First Division;Brazil
102428;Nihon-League 1;Japan
107191;Second Division;Brazil
107192;Third Division;Brazil
107256;JFL;Japan
108508;Metropolitan Zone;Argentina
108509;Interior Zone;Argentina
109201;Vanarama National;United Kingdom
114506;Lower Division;Sweden
115064;Regional Division;Spain
115424;Nihon-League 2;Japan
129120;Premier League;Finland
129123;Lower Division;Finland
129131;First Division;Finland
129372;Premier Division;Ireland
129373;First Division;Ireland
129377;Leinster Premier Division;Ireland
129387;Ulster Senior League;Ireland
129388;Munster Premier Division;Ireland
129558;PKO BP Ekstraklasa;Poland
129559;First Division;Poland
129645;First League;Croatia
129646;Second League;Croatia
129647;Lower League;Croatia
129650;Super League;Greece
129651;Super League 2;Greece
129755;Third League North;Croatia
129756;Third League South;Croatia
129757;Third League East;Croatia
129758;Third League West;Croatia
129759;Third League Central;Croatia
129985;Hyundai A-League;Australia
130023;Danske Bank Premier;United Kingdom
130024;Bluefin Sport CH;United Kingdom
130025;Amateur Premier Division;United Kingdom
130185;NPL NSW;Australia
130186;BPL;Australia
130188;NPL Victoria;Australia
130189;NPL WA;Australia
130286;Super League;Turkey
130486;Premier League;Russia
130487;First Division;Russia
130488;Second Division - West;Russia
130489;Second Division - Central;Russia
130490;Second Division - South;Russia
130491;Second Division - East;Russia
130494;Lower Division;Russia
130672;JD Cymru Premier;United Kingdom
130673;Welsh Lower Division;United Kingdom
130931;Super League;China
130933;Non-League;China
131126;First Division;China
131234;South African Premiership;South Africa
131235;National First Division;South Africa
131287;First Division;Czech Republic
131288;Second Division;Czech Republic
132321;SuperLeague;Serbia
132323;Lower League;Serbia
135973;First Division;Mexico
135974;Promotion League;Mexico
136041;Third Division CFL A;Czech Republic
136042;Third Division MSFL;Czech Republic
136043;Fourth Division A;Czech Republic
136044;Fourth Division B;Czech Republic
136045;Fourth Division C;Czech Republic
136046;Fourth Division D;Czech Republic
136047;Fourth Division E;Czech Republic
136048;Lower Division;Czech Republic
136407;K LEAGUE 1;South Korea
136412;U-League;South Korea
136414;High School League;South Korea
136543;Premier Division;Austria
136544;First Division;Austria
136546;Regional Division East;Austria
137889;Super League;Switzerland
137890;Challenge League;Switzerland
137891;Lower Division;Switzerland
145435;4th Division-Podmoskovje;Russia
147023;Bluefin Sport PIL;United Kingdom
150913;Liga II;Romania
152045;Division II;Hungary
162504;Second Division;Poland
164021;Great Lakes Division;United States
164022;Heartland Division;United States
164023;Mid Atlantic Division;United States
164024;Northeast Division;United States
164025;Mid South Division;United States
164026;Southeast Division;United States
164027;Southwest Division;United States
164028;Northwest Division;Canada
225495;Bosman Tournament;Norway
353078;Welsh League Div 1;United Kingdom
418021;Mid Ulster Intermediate A;United Kingdom
419047;Ballymena Premier;United Kingdom
432083;NPL ACT;Australia
432090;Tas Northern Championship;Australia
432091;Tas Southern Championship;Australia
432262;Premiership;New Zealand
432263;Canterbury Premier;New Zealand
432264;Capital Premier;New Zealand
432265;Capital Division 1;New Zealand
432266;NRFL Premier;New Zealand
463479;1. League;Turkey
463485;2. League White;Turkey
463486;2. League Red;Turkey
553378;Leinster First Division;Ireland
612799;Fourth Division;Sweden
690094;Football League;Greece
692430;First Division;Cyprus
692431;Second Division;Cyprus
692432;Lower Division;Cyprus
776278;U18 Ch'ship;Japan
788824;Hokkaido League;Japan
788825;Tohoku League 1;Japan
788826;Kanto League 1;Japan
788827;Hokushin'etsu League 1;Japan
788828;Tokai League 1;Japan
788829;Kansai League 1;Japan
788830;Chugoku League;Japan
788831;Shikoku League;Japan
788832;Kyushu League;Japan
788833;Kanto League 2;Japan
788834;Kansai League 2;Japan
788837;Tokai League 2;Japan
788839;Tohoku League 2 North;Japan
790071;Hokushin'etsu League 2;Japan
791180;N-League 3;Japan
862765;Zaterdag A;Netherlands
862766;Zaterdag B;Netherlands
862768;Zondag A;Netherlands
862769;Zondag B;Netherlands
914522;National 2 - B;France
914523;National 2 - C;France
914524;National 2 - D;France
932444;Lower Division;Denmark
981781;USASA;United States
1002872;Second Division North;China
1002873;Second Division South;China
1004911;Island-wide League;Singapore
1013060;Lower Division;Malaysia
1018789;Pro League;Iran
1018790;First Division;Iran
1018791;Lower Division;Iran
1039313;Premier League;Bahrain
1039314;First Division;Bahrain
1300021;Top League;Comoros
1300397;Premier Division;Norway
1300398;First Division;Norway
1300603;Second Division Group 1;Norway
1300604;Second Division Group 2;Norway
1301432;Lower Leagues;Austria
1302039;National Youth League;Australia
1400399;Italian Lower Division;Italy
1400400;Serie D Grp. A;Italy
1400401;Serie D Grp. B;Italy
1400402;Serie D Grp. C;Italy
1400403;Serie D Grp. D;Italy
1400404;Serie D Grp. E;Italy
1400405;Serie D Grp. F;Italy
1400406;Serie D Grp. G;Italy
1400407;Serie D Grp. H;Italy
1400408;Serie D Grp. I;Italy
1900171;CSL;Canada
1900708;Western Premier;United Kingdom
1900712;Amateur Division 1A;United Kingdom
1900713;Amateur Division 1B;United Kingdom
2300046;A League;Lithuania
2300047;1 League;Lithuania
2300049;Lower Leagues;Lithuania
2300050;Premier League;Malta
2300051;First Division;Malta
2300052;Lower Divisions;Malta
5103714;Isthmian Premier;United Kingdom
5103716;Northern Premier League;United Kingdom
5111904;SL - Division One South;United Kingdom
5111905;SL - Division One Central;United Kingdom
5123054;Vanarama North;United Kingdom
5123055;Vanarama South;United Kingdom
5209094;Scottish Amateurs;United Kingdom
5250792;First Division;Chile
5250793;First Division B;Chile
5250794;Third Division A;Chile
5260948;First Division;Colombia
