code;value
2;Lastname
;Abdul Ghani
;Abenza
;Abner
;Abu
;Accioli
;Acioli
;Adan
;Adão
;Adriano
;Afonso
;Áfrico
;Alagoano
;Alba
;Alberto
;Albino
;Alemão
;Alessandro
;Alex
;Almeida
;Aloízio
;Álvarez
;Alves
;Amaral
;Amaro
;Amora
;Amorim
;Amparo
;Ananias
;Anderson
;Andrade
;André
;Ángel
;Ângelo
;Anjos
;Antonio
;Antônio
;Apeú
;Aquino
;Aragão
;Arana
;Aranda
;Arão
;Araruna
;Araújo
;Arcanjo
;Arce Jr.
;Areias
;Arroz
;Arruda
;Artur
;Assis
;Assumpção
;Augusto
;Aurelio
;Aurélio
;Avelar
;Ávila
;Ayub
;Azevedo
;Azul
;Azulão
;Azzi
;Bacabal
;Baggio
;Bahia
;Baia
;Baiano
;Baixola
;Bala
;Balardin
;Ballack
;Ballesteros
;Balotelli
;Bambu
;Baptista
;Baptistão
;Barbio
;Barbosa
;Barboza
;Barcelos
;Barreto
;Barrio
;Barrios
;Barros
;Bartholo
;Basso
;Bastos
;Batata
;Batatinha
;Batista
;Bauermann
;Bayo
;Becão
;Beck
;Beda
;Belém
;Beliato
;Belusso
;Benevenuto
;Benevides
;Benhami
;Benito
;Berger
;Bermúdez
;Bernardi
;Bernardo
;Berola
;Bersan
;Bessa
;Bezerra
;Biao
;Bid
;Biel
;Bigode
;Bilu
;Biro
;Bispo
;Bissi
;Biteco
;Bittencourt
;Blanco
;Blau
;Boaventura
;Bob
;Bobsin
;Bocão
;Boeck
;Boi
;Boia
;Bolívia
;Bolt
;Bonan
;Bonassa
;Bonatini
;Bonfim
;Bonilha
;Borges
;Borracha
;Bortoluzo
;Bosel
;Botelho
;Bovi
;Boy
;Bracali
;Braga
;Brasília
;Braz
;Brenner
;Bressan
;Brey
;Brisola
;Brito
;Brock
;Broetto
;Brumado
;Bruno
;Bueno
;Bulhões
;Cabral
;Cabrera
;Caça-Rato
;Cachorrão
;Caetano
;Café
;Cafu
;Caiçara
;Caio
;Caixeta
;Cajá
;Calabres
;Calaça
;Caldeira
;Calheira
;Calila
;Calixto
;Calmon
;Calvo
;Camargo
;Cambalhota
;Cametá
;Camilo
;Campanharo
;Campos
;Canário
;Cancian
;Cândido
;Canesin
;Canhoto
;Canina
;Capanema
;Capixaba
;Carandina
;Cardoso
;Cardozo
;Careca
;Carioca
;Carleto
;Carli
;Carlo
;Carlos
;Carmona
;Carné
;Carrasco
